Feature,Weight,Absolute_Weight,Class_ID,Class_Name,Sample_Index,True_Label,Predicted_Label,Predicted_Class
0.24 < GAD4 <= 1.28,0.15397235429721198,0.15397235429721198,2,Critical,1,2,2,Critical
0.26 < GAD7 <= 1.21,0.13097326242420496,0.13097326242420496,2,Critical,1,2,2,Critical
PSS7 > 1.04,0.11359506329089107,0.11359506329089107,2,Critical,1,2,2,Critical
0.24 < GAD1 <= 1.29,0.09714002116287854,0.09714002116287854,2,Critical,1,2,2,Critical
PHQ8 <= -0.42,-0.08269754252207165,0.08269754252207165,2,Critical,1,2,2,Critical
0.25 < GAD3 <= 1.25,0.08044658291317561,0.08044658291317561,2,Critical,1,2,2,Critical
0.20 < GAD6 <= 1.21,0.07235641257244073,0.07235641257244073,2,Critical,1,2,2,Critical
0.25 < PSS3 <= 1.14,0.06786281514398884,0.06786281514398884,2,Critical,1,2,2,Critical
0.36 < GAD2 <= 1.33,0.06438594422289352,0.06438594422289352,2,Critical,1,2,2,Critical
PSS4 <= -0.30,-0.06433516801154204,0.06433516801154204,2,Critical,1,2,2,Critical
