Feature,Weight,Absolute_Weight,Class_ID,Class_Name,Sample_Index,True_Label,Predicted_Label,Predicted_Class
PHQ4 <= -0.99,0.00447614655279323,0.00447614655279323,0,Stable,8,0,0,Stable
PSS7 <= -0.94,0.003972026850636165,0.003972026850636165,0,Stable,8,0,0,Stable
PHQ2 <= -0.78,0.003479375171823871,0.003479375171823871,0,Stable,8,0,0,Stable
PHQ8 <= -0.42,0.0024874285901029074,0.0024874285901029074,0,Stable,8,0,0,Stable
PHQ5 <= -0.47,0.0024024769937844395,0.0024024769937844395,0,Stable,8,0,0,Stable
PSS6 <= -0.73,0.002212454259417009,0.002212454259417009,0,Stable,8,0,0,Stable
GAD2 <= -0.61,0.002008197616625705,0.002008197616625705,0,Stable,8,0,0,Stable
PSS3 <= -0.65,0.0017656032255420507,0.0017656032255420507,0,Stable,8,0,0,Stable
GAD1 <= -0.80,0.0017647141853649045,0.0017647141853649045,0,Stable,8,0,0,Stable
PSS9 <= -0.36,-0.001542248526381197,0.001542248526381197,0,Stable,8,0,0,Stable
