Feature,Weight,Absolute_Weight,Class_ID,Class_Name,Sample_Index,True_Label,Predicted_Label,Predicted_Class
PHQ4 <= -0.99,0.004476146552793231,0.004476146552793231,0,Stable,8,0,0,Stable
PSS7 <= -0.94,0.003972026850636164,0.003972026850636164,0,Stable,8,0,0,Stable
PHQ2 <= -0.78,0.0034793751718238727,0.0034793751718238727,0,Stable,8,0,0,Stable
PHQ8 <= -0.42,0.0024874285901029082,0.0024874285901029082,0,Stable,8,0,0,Stable
PHQ5 <= -0.47,0.0024024769937844395,0.0024024769937844395,0,Stable,8,0,0,Stable
PSS6 <= -0.73,0.0022124542594170104,0.0022124542594170104,0,Stable,8,0,0,Stable
GAD2 <= -0.61,0.0020081976166257064,0.0020081976166257064,0,Stable,8,0,0,Stable
PSS3 <= -0.65,0.001765603225542051,0.001765603225542051,0,Stable,8,0,0,Stable
GAD1 <= -0.80,0.0017647141853649054,0.0017647141853649054,0,Stable,8,0,0,Stable
PSS9 <= -0.36,-0.0015422485263811968,0.0015422485263811968,0,Stable,8,0,0,Stable
GAD4 <= -0.81,0.12087678490872018,0.12087678490872018,1,Challenged,0,1,1,Challenged
GAD7 <= -0.69,0.11234955703444087,0.11234955703444087,1,Challenged,0,1,1,Challenged
PHQ8 <= -0.42,0.07933796064321268,0.07933796064321268,1,Challenged,0,1,1,Challenged
0.20 < PHQ2 <= 1.17,-0.07707565852329434,0.07707565852329434,1,Challenged,0,1,1,Challenged
GAD6 <= -0.81,0.07441269772818669,0.07441269772818669,1,Challenged,0,1,1,Challenged
0.33 < PHQ3 <= 1.27,-0.0662284005648972,0.0662284005648972,1,Challenged,0,1,1,Challenged
GAD3 <= -0.74,0.0614133238308025,0.0614133238308025,1,Challenged,0,1,1,Challenged
PSS9 <= -0.36,0.05500039600932369,0.05500039600932369,1,Challenged,0,1,1,Challenged
0.19 < PHQ6 <= 1.13,-0.05469355646562444,0.05469355646562444,1,Challenged,0,1,1,Challenged
GAD5 <= -0.88,0.04940469510674609,0.04940469510674609,1,Challenged,0,1,1,Challenged
0.24 < GAD4 <= 1.28,0.15397235429721193,0.15397235429721193,2,Critical,1,2,2,Critical
0.26 < GAD7 <= 1.21,0.1309732624242049,0.1309732624242049,2,Critical,1,2,2,Critical
PSS7 > 1.04,0.11359506329089104,0.11359506329089104,2,Critical,1,2,2,Critical
0.24 < GAD1 <= 1.29,0.09714002116287851,0.09714002116287851,2,Critical,1,2,2,Critical
PHQ8 <= -0.42,-0.08269754252207166,0.08269754252207166,2,Critical,1,2,2,Critical
0.25 < GAD3 <= 1.25,0.08044658291317558,0.08044658291317558,2,Critical,1,2,2,Critical
0.20 < GAD6 <= 1.21,0.07235641257244073,0.07235641257244073,2,Critical,1,2,2,Critical
0.25 < PSS3 <= 1.14,0.0678628151439888,0.0678628151439888,2,Critical,1,2,2,Critical
0.36 < GAD2 <= 1.33,0.0643859442228935,0.0643859442228935,2,Critical,1,2,2,Critical
PSS4 <= -0.30,-0.06433516801154208,0.06433516801154208,2,Critical,1,2,2,Critical
